MovieKey,Title,OriginalLanguage,Status
245,About a Boy,en,Released
248,Pocketful of Miracles,en,Released
251,Ghost,en,Released
252,Willy Wonka & the Chocolate Factory,en,Released
253,Live and Let Die,en,Released
254,King Kong,en,Released
257,Oliver Twist,en,Released
261,Cat on a Hot Tin Roof,en,Released
268,Batman,en,Released
272,Batman Begins,en,Released
274,The Silence of the Lambs,en,Released
277,Underworld,en,Released
278,The Shawshank Redemption,en,Released
279,Amadeus,en,Released
280,Terminator 2: Judgment Day,en,Released
284,The Apartment,en,Released
285,Pirates of the Caribbean: At World's End,en,Released
288,High Noon,en,Released
289,Casablanca,en,Released
291,Riding Giants,en,Released
292,Dave Chappelle's Block Party,en,Released
296,Terminator 3: Rise of the Machines,en,Released
297,Meet Joe Black,en,Released
298,Ocean's Thirteen,en,Released
302,Swimming Pool,en,Released
306,Beverly Hills Cop III,en,Released
309,The Celebration,da,Released
310,Bruce Almighty,en,Released
311,Once Upon a Time in America,en,Released
314,Catwoman,en,Released
319,True Romance,en,Released
320,Insomnia,en,Released
321,Mambo Italiano,en,Released
322,Mystic River,en,Released
326,Snakes on a Plane,en,Released
327,Brother,ja,Released
329,Jurassic Park,en,Released
330,The Lost World: Jurassic Park,en,Released
331,Jurassic Park III,en,Released
332,Inspector Gadget,en,Released
334,Magnolia,en,Released
335,Once Upon a Time in the West,it,Released
338,"Good bye, Lenin!",de,Released
342,Summer Storm,de,Released
345,Eyes Wide Shut,en,Released
346,Seven Samurai,ja,Released
348,Alien,en,Released
350,The Devil Wears Prada,en,Released
364,Batman Returns,en,Released
377,A Nightmare on Elm Street,en,Released
380,Rain Man,en,Released
387,Das Boot,de,Released
388,Inside Man,en,Released
389,12 Angry Men,en,Released
391,A Fistful of Dollars,it,Released
392,Chocolat,en,Released
393,Kill Bill: Vol. 2,en,Released
395,AVP: Alien vs. Predator,en,Released
398,Capote,en,Released
400,Things to Do in Denver When You're Dead,en,Released
401,Garden State,en,Released
403,Driving Miss Daisy,en,Released
404,The Straight Story,en,Released
408,Snow White and the Seven Dwarfs,en,Released
409,The English Patient,en,Released
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",en,Released
414,Batman Forever,en,Released
415,Batman & Robin,en,Released
421,The Life Aquatic with Steve Zissou,en,Released
423,The Pianist,en,Released
424,Schindler's List,en,Released
425,Ice Age,en,Released
429,"The Good, the Bad and the Ugly",it,Released
431,Cube,en,Released
433,Mary Poppins,en,Released
435,The Day After Tomorrow,en,Released
436,Maria Full of Grace,es,Released
440,Aliens vs Predator: Requiem,en,Released
451,Leaving Las Vegas,en,Released
453,A Beautiful Mind,en,Released
454,Romeo + Juliet,en,Released
455,Bend It Like Beckham,en,Released
462,Erin Brockovich,en,Released
464,As It Is in Heaven,sv,Released
468,My Own Private Idaho,en,Released
470,21 Grams,en,Released
473,Pi,en,Released
479,Shaft,en,Released
480,Monsoon Wedding,hi,Released
489,Good Will Hunting,en,Released
492,Being John Malkovich,en,Released
496,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,en,Released
497,The Green Mile,en,Released
500,Reservoir Dogs,en,Released
503,Poseidon,en,Released
504,Monster,en,Released
507,Killing Zoe,en,Released
508,Love Actually,en,Released
509,Notting Hill,en,Released
510,One Flew Over the Cuckoo's Nest,en,Released
512,Scoop,en,Released
522,Ed Wood,en,Released
524,Casino,en,Released
525,The Blues Brothers,en,Released
526,Ladyhawke,en,Released
533,The Curse of the Were-Rabbit,en,Released
534,Terminator Salvation,en,Released
535,Flashdance,en,Released
539,Psycho,en,Released
540,D.E.B.S.,en,Released
542,The Crime of Padre Amaro,es,Released
544,There's Something About Mary,en,Released
546,Transamerica,en,Released
547,The Horse Whisperer,en,Released
549,Basquiat,en,Released
550,Fight Club,en,Released
557,Spider-Man,en,Released
558,Spider-Man 2,en,Released
559,Spider-Man 3,en,Released
562,Die Hard,en,Released
563,Starship Troopers,en,Released
568,Apollo 13,en,Released
573,Frenzy,en,Released
576,The Wild Bunch,en,Released
577,To Die For,en,Released
578,Jaws,en,Released
579,Jaws 2,en,Released
580,Jaws: The Revenge,en,Released
581,Dances with Wolves,en,Released
582,The Lives of Others,de,Released
584,2 Fast 2 Furious,en,Released
585,"Monsters, Inc.",en,Released
586,Wag the Dog,en,Released
587,Big Fish,en,Released
588,Silent Hill,en,Released
590,The Hours,en,Released
591,The Da Vinci Code,en,Released
592,The Conversation,en,Released
593,Solaris,ru,Released
594,The Terminal,en,Released
595,To Kill a Mockingbird,en,Released
597,Titanic,en,Released
598,City of God,pt,Released
601,E.T. the Extra-Terrestrial,en,Released
602,Independence Day,en,Released
603,The Matrix,en,Released
604,The Matrix Reloaded,en,Released
605,The Matrix Revolutions,en,Released
606,Out of Africa,en,Released
607,Men in Black,en,Released
608,Men in Black II,en,Released
609,Poltergeist,en,Released
612,Munich,en,Released
613,Downfall,de,Released
615,The Passion of the Christ,en,Released
616,The Last Samurai,en,Released
617,Wild Things,en,Released
619,The Bodyguard,en,Released
621,Grease,en,Released
622,The Ninth Gate,en,Released
627,Trainspotting,en,Released
628,Interview with the Vampire,en,Released
629,The Usual Suspects,en,Released
630,The Wizard of Oz,en,Released
634,Bridget Jones's Diary,en,Released
639,When Harry Met Sally...,en,Released
640,Catch Me If You Can,en,Released
641,Requiem for a Dream,en,Released
642,Butch Cassidy and the Sundance Kid,en,Released
644,A.I. Artificial Intelligence,en,Released
646,Dr. No,en,Released
650,Boyz n the Hood,en,Released
652,Troy,en,Released
654,On the Waterfront,en,Released
657,From Russia with Love,en,Released
658,Goldfinger,en,Released
660,Thunderball,en,Released
663,Saw IV,en,Released
664,Twister,en,Released
666,Central Station,pt,Released
667,You Only Live Twice,en,Released
668,On Her Majesty's Secret Service,en,Released
670,Oldboy,ko,Released
671,Harry Potter and the Philosopher's Stone,en,Released
672,Harry Potter and the Chamber of Secrets,en,Released
673,Harry Potter and the Prisoner of Azkaban,en,Released
674,Harry Potter and the Goblet of Fire,en,Released
675,Harry Potter and the Order of the Phoenix,en,Released
676,Pearl Harbor,en,Released
679,Aliens,en,Released
680,Pulp Fiction,en,Released
681,Diamonds Are Forever,en,Released
682,The Man with the Golden Gun,en,Released
686,Contact,en,Released
687,Dead Man Walking,en,Released
688,The Bridges of Madison County,en,Released
691,The Spy Who Loved Me,en,Released
692,Pink Flamingos,en,Released
693,Meet the Fockers,en,Released
694,The Shining,en,Released
698,Moonraker,en,Released
699,For Your Eyes Only,en,Released
700,Octopussy,en,Released
702,A Streetcar Named Desire,en,Released
703,Annie Hall,en,Released
704,A Hard Day's Night,en,Released
707,A View to a Kill,en,Released
708,The Living Daylights,en,Released
709,Licence to Kill,en,Released
710,GoldenEye,en,Released
711,Finding Forrester,en,Released
712,Four Weddings and a Funeral,en,Released
713,The Piano,en,Released
714,Tomorrow Never Dies,en,Released
744,Top Gun,en,Released
745,The Sixth Sense,en,Released
746,The Last Emperor,en,Released
747,Shaun of the Dead,en,Released
752,V for Vendetta,en,Released
754,Face/Off,en,Released
755,From Dusk Till Dawn,en,Released
756,Fantasia,en,Released
762,Monty Python and the Holy Grail,en,Released
764,The Evil Dead,en,Released
765,Evil Dead II,en,Released
766,Army of Darkness,en,Released
767,Harry Potter and the Half-Blood Prince,en,Released
768,From Hell,en,Released
769,GoodFellas,en,Released
770,Gone with the Wind,en,Released
771,Home Alone,en,Released
772,Home Alone 2: Lost in New York,en,Released
773,Little Miss Sunshine,en,Released
782,Gattaca,en,Released
783,Gandhi,en,Released
786,Almost Famous,en,Released
787,Mr. & Mrs. Smith,en,Released
788,Mrs. Doubtfire,en,Released
790,The Fog,en,Released
792,Platoon,en,Released
794,The Omen,en,Released
795,City of Angels,en,Released
796,Cruel Intentions,en,Released
801,"Good Morning, Vietnam",en,Released
802,Lolita,en,Released
805,Rosemary's Baby,en,Released
807,Se7en,en,Released
808,Shrek,en,Released
809,Shrek 2,en,Released
810,Shrek the Third,en,Released
811,Silent Running,en,Released
812,Aladdin,en,Released
813,Airplane!,en,Released
816,Austin Powers: International Man of Mystery,en,Released
817,Austin Powers: The Spy Who Shagged Me,en,Released
818,Austin Powers in Goldmember,en,Released
819,Sleepers,en,Released
820,JFK,en,Released
821,Judgment at Nuremberg,en,Released
824,Moulin Rouge!,en,Released
826,The Bridge on the River Kwai,en,Released
834,Underworld: Evolution,en,Released
837,Videodrome,en,Released
838,American Graffiti,en,Released
840,Close Encounters of the Third Kind,en,Released
841,Dune,en,Released
844,2046,zh,Released
846,The X Files,en,Released
848,Dragonslayer,en,Released
849,Krull,en,Released
850,A Christmas Story,en,Released
853,Enemy at the Gates,en,Released
854,The Mask,en,Released
855,Black Hawk Down,en,Released
857,Saving Private Ryan,en,Released
859,Dangerous Liaisons,en,Released
860,WarGames,en,Released
861,Total Recall,en,Released
862,Toy Story,en,Released
863,Toy Story 2,en,Released
864,Cool Runnings,en,Released
865,The Running Man,en,Released
866,Finding Neverland,en,Released
868,Tsotsi,af,Released
869,Planet of the Apes,en,Released
872,Singin' in the Rain,en,Released
873,The Color Purple,en,Released
874,A Man for All Seasons,en,Released
879,Hook,en,Released
881,A Few Good Men,en,Released
887,The Best Years of Our Lives,en,Released
888,The Flintstones,en,Released
889,The Flintstones in Viva Rock Vegas,en,Released
905,Pandora's Box,de,Released
907,Doctor Zhivago,en,Released
913,The Thomas Crown Affair,en,Released
920,Cars,en,Released
921,Cinderella Man,en,Released
924,Dawn of the Dead,en,Released
925,Do the Right Thing,en,Released
926,Galaxy Quest,en,Released
927,Gremlins,en,Released
928,Gremlins 2: The New Batch,en,Released
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,en,Released
943,Lethal Weapon 3,en,Released
944,Lethal Weapon 4,en,Released
947,Lawrence of Arabia,en,Released
948,Halloween,en,Released
950,Ice Age: The Meltdown,en,Released
951,Kindergarten Cop,en,Released
953,Madagascar,en,Released
954,Mission: Impossible,en,Released
955,Mission: Impossible II,en,Released
956,Mission: Impossible III,en,Released
957,Spaceballs,en,Released
978,Seven Years in Tibet,en,Released
979,Irreversible,fr,Released
985,Eraserhead,en,Released
987,The Front Page,en,Released
990,The Hustler,en,Released
1018,Mulholland Drive,en,Released
1024,Heavenly Creatures,en,Released
1051,The French Connection,en,Released
1073,Arlington Road,en,Released
1088,Whale Rider,en,Released
1090,The Thirteenth Floor,en,Released
1091,The Thing,en,Released
1103,Escape from New York,en,Released
1116,The Wind That Shakes the Barley,en,Released
1123,Catch a Fire,en,Released
1124,The Prestige,en,Released
1125,Dreamgirls,en,Released
1164,Babel,en,Released
1165,The Queen,en,Released
1213,The Talented Mr. Ripley,en,Released
1245,The Remains of the Day,en,Released
1246,Rocky Balboa,en,Released
1248,Hannibal Rising,en,Released
1250,Ghost Rider,en,Released
1251,Letters from Iwo Jima,en,Released
1255,The Host,ko,Released
1257,Because I Said So,en,Released
1259,Notes on a Scandal,en,Released
1262,Stranger Than Fiction,en,Released
1265,Bridge to Terabithia,en,Released
1266,Street Kings,en,Released
1268,Mr. Bean's Holiday,en,Released
1271,300,en,Released
1272,Sunshine,en,Released
1273,TMNT,en,Released
1282,Dogtown and Z-Boys,en,Released
1359,American Psycho,en,Released
1360,Frida,en,Released
1365,Monster's Ball,en,Released
1366,Rocky,en,Released
1368,First Blood,en,Released
1369,Rambo: First Blood Part II,en,Released
1370,Rambo III,en,Released
1372,Blood Diamond,en,Released
1378,Shortbus,en,Released
1381,The Fountain,en,Released
1382,Me and You and Everyone We Know,en,Released
1389,Out of Sight,en,Released
1391,Y Tu Mamá También,es,Released
1402,The Pursuit of Happyness,en,Released
1408,Cutthroat Island,en,Released
1412,"Sex, Lies, and Videotape",en,Released
1415,Party Monster,en,Released
1417,Pan's Labyrinth,es,Released
1422,The Departed,en,Released
1424,November,en,Released
1427,Perfume: The Story of a Murderer,en,Released
1428,Once Upon a Time in Mexico,en,Released
1429,25th Hour,en,Released
1430,Bowling for Columbine,en,Released
1435,Tarnation,en,Released
1439,Anna and the King,en,Released
1440,Little Children,en,Released
1443,The Virgin Suicides,en,Released
1452,Superman Returns,en,Released
1487,Hellboy,en,Released
1491,The Illusionist,en,Released
1493,Miss Congeniality,en,Released
1494,Curse of the Golden Flower,zh,Released
1495,Kingdom of Heaven,en,Released
1497,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,en,Released
1499,Teenage Mutant Ninja Turtles III,en,Released
1523,The Last King of Scotland,en,Released
1535,Spy Game,en,Released
1537,Changing Lanes,en,Released
1538,Collateral,en,Released
1542,Office Space,en,Released
1544,Imagine Me & You,en,Released
1546,Thumbsucker,en,Released
1547,The Lost Boys,en,Released
1548,Ghost World,en,Released
1550,Pieces of April,en,Released
1551,Flatliners,en,Released
1555,The Spanish Apartment,fr,Released
1562,28 Weeks Later,en,Released
1571,Live Free or Die Hard,en,Released
1572,Die Hard: With a Vengeance,en,Released
1573,Die Hard 2,en,Released
1574,Chicago,en,Released
1576,Resident Evil,en,Released
1577,Resident Evil: Apocalypse,en,Released
1578,Raging Bull,en,Released
1579,Apocalypto,en,Released
1581,The Holiday,en,Released
1584,School of Rock,en,Released
1585,It's a Wonderful Life,en,Released
1586,Secret Window,en,Released
1587,What's Eating Gilbert Grape,en,Released
1588,Bring It On,en,Released
1590,Copying Beethoven,en,Released
1591,Nowhere in Africa,de,Released
1593,Night at the Museum,en,Released
1597,Meet the Parents,en,Released
1598,Cape Fear,en,Released
1599,I Heart Huckabees,en,Released
1613,The 51st State,en,Released
1619,The Way of the Gun,en,Released
1620,Hitman,en,Released
1621,Trading Places,en,Released
1624,Liar Liar,en,Released
1635,The Island,en,Released
1636,Bedazzled,en,Released
1637,Speed,en,Released
1639,Speed 2: Cruise Control,en,Released
1640,Crash,en,Released
1642,The Net,en,Released
1645,A Time to Kill,en,Released
1646,Freedom Writers,en,Released
1648,Bill & Ted's Excellent Adventure,en,Released
1649,Bill & Ted's Bogus Journey,en,Released
1651,Mississippi Mermaid,fr,Released
1656,The Legend of Zorro,en,Released
1667,March of the Penguins,fr,Released
1669,The Hunt for Red October,en,Released
1677,Ray,en,Released
1683,The Reaping,en,Released
1685,Beneath the Planet of the Apes,en,Released
1687,Escape from the Planet of the Apes,en,Released
1688,Conquest of the Planet of the Apes,en,Released
1690,Hostel,en,Released
1691,Hostel: Part II,en,Released
1696,The Devil's Rejects,en,Released
1698,Anatomy,de,Released
1701,Con Air,en,Released
1705,Battle for the Planet of the Apes,en,Released
1710,Copycat,en,Released
1717,All the King's Men,en,Released
1722,Captain Corelli's Mandolin,en,Released
1724,The Incredible Hulk,en,Released
1725,West Side Story,en,Released
1726,Iron Man,en,Released
1729,The Forbidden Kingdom,en,Released
1734,The Mummy Returns,en,Released
1735,The Mummy: Tomb of the Dragon Emperor,en,Released
1770,Michael Collins,en,Released
1771,Captain America: The First Avenger,en,Released
1777,Fahrenheit 9/11,en,Released
1779,Roger & Me,en,Released
1781,An Inconvenient Truth,en,Released
1788,Footloose,en,Released
1792,Stuck on You,en,Released
1808,Velvet Goldmine,en,Released
1809,The Rules of Attraction,en,Released
1813,The Devil's Advocate,en,Released
1817,Phone Booth,en,Released
1819,"You, Me and Dupree",en,Released
1824,50 First Dates,en,Released
1830,Lord of War,en,Released
1831,The Next Best Thing,en,Released
1832,Dogma,en,Released
1833,Rent,en,Released
1844,Entrapment,en,Released
1850,Man on the Moon,en,Released
1852,World Trade Center,en,Released
1858,Transformers,en,Released
1865,Pirates of the Caribbean: On Stranger Tides,en,Released
1874,Goodbye Bafana,en,Released
1878,Fear and Loathing in Las Vegas,en,Released
1880,Red Dawn,en,Released
1883,Malcolm X,en,Released
1885,The Karate Kid,en,Released
1887,Marie Antoinette,en,Released
1891,The Empire Strikes Back,en,Released
1892,Return of the Jedi,en,Released
1893,Star Wars: Episode I - The Phantom Menace,en,Released
1894,Star Wars: Episode II - Attack of the Clones,en,Released
1895,Star Wars: Episode III - Revenge of the Sith,en,Released
1900,Traffic,en,Released
1901,In Good Company,en,Released
1903,Vanilla Sky,en,Released
1904,Memoirs of a Geisha,en,Released
1907,The Beach,en,Released
1909,Don Juan DeMarco,en,Released
1911,The 13th Warrior,en,Released
1913,The Sea Inside,es,Released
1921,Sweet November,en,Released
1924,Superman,en,Released
1927,Hulk,en,Released
1930,The Amazing Spider-Man,en,Released
1931,Stomp the Yard,en,Released
1933,The Others,en,Released
1934,Shakespeare in Love,en,Released
1946,eXistenZ,en,Released
1947,An Unfinished Life,en,Released
1948,Crank,en,Released
1949,Zodiac,en,Released
1950,Lucky You,en,Released
1951,Manderlay,da,Released
1954,The Butterfly Effect,en,Released
1955,The Elephant Man,en,Released
1956,Gerry,en,Released
1957,Enough,en,Released
1958,8 Women,fr,Released
1961,My Name Is Bruce,en,Released
1966,Alexander,en,Released
1969,Bandidas,es,Released
1970,The Grudge,en,Released
1975,The Grudge 2,en,Released
1979,Fantastic 4: Rise of the Silver Surfer,en,Released
1985,The Constant Gardener,en,Released
1988,A Mighty Heart,en,Released
1989,My Blueberry Nights,en,Released
1995,Lara Croft: Tomb Raider,en,Released
1996,Lara Croft Tomb Raider: The Cradle of Life,en,Released
1997,Two Brothers,en,Released
1999,In the Bedroom,en,Released
2001,We Own the Night,en,Released
2008,The Promise,zh,Released
2009,"4 Months, 3 Weeks and 2 Days",ro,Released
2011,Persepolis,fr,Released
2013,The Diving Bell and the Butterfly,fr,Released
2018,The Wedding Planner,en,Released
2022,Mr. Deeds,en,Released
2023,Hidalgo,en,Released
2024,The Patriot,en,Released
2026,Hostage,en,Released
2034,Training Day,en,Released
2043,Along Came a Spider,en,Released
2044,The Lake House,en,Released
2048,"I, Robot",en,Released
2054,Mr. Holland's Opus,en,Released
2055,Open Range,en,Released
2056,The Station Agent,en,Released
2057,Original Sin,en,Released
2059,National Treasure,en,Released
2062,Ratatouille,en,Released
2067,Mission to Mars,en,Released
2069,The Whole Nine Yards,en,Released
2074,Flirting with Disaster,en,Released
2080,X-Men Origins: Wolverine,en,Released
2084,Birthday Girl,en,Released
2085,Romeo Must Die,en,Released
2088,Romeo Is Bleeding,en,Released
2100,The Last Castle,en,Released
2105,American Pie,en,Released
2110,Wasabi,fr,Released
2112,Payback,en,Released
2114,Final Fantasy: The Spirits Within,en,Released
2116,Out of Time,en,Released
2118,L.A. Confidential,en,Released
2119,Days of Thunder,en,Released
2122,The Whole Ten Yards,en,Released
2123,"Me, Myself & Irene",en,Released
2133,The Perfect Storm,en,Released
2135,The Time Machine,en,Released
2140,Kiss of the Dragon,en,Released
2142,Cop Land,en,Released
2148,The Cotton Club,en,Released
2155,Reindeer Games,en,Released
2157,Lost in Space,en,Released
2162,Chill Factor,en,Released
2163,Breakdown,en,Released
2176,The Glass House,en,Released
2185,Big Trouble,en,Released
2196,Death at a Funeral,en,Released
2207,16 Blocks,en,Released
2211,Aimee & Jaguar,de,Released
2251,Unfaithful,en,Released
2252,Eastern Promises,en,Released
2253,Valkyrie,en,Released
2255,Chasing Amy,en,Released
2266,"Paris, je t'aime",fr,Released
2268,The Golden Compass,en,Released
2270,Stardust,en,Released
2275,The General's Daughter,en,Released
2277,Bicentennial Man,en,Released
2280,Big,en,Released
2287,Rize,en,Released
2288,Closer,en,Released
2289,Cold Mountain,en,Released
2290,Jakob the Liar,en,Released
2292,Clerks,en,Released
2293,Mallrats,en,Released
2294,Jay and Silent Bob Strike Back,en,Released
2295,Clerks II,en,Released
2300,Space Jam,en,Released
2309,Inkheart,en,Released
2310,Beowulf,en,Released
2312,In the Name of the King: A Dungeon Siege Tale,en,Released
2320,Executive Decision,en,Released
2355,Reign Over Me,en,Released
2359,Sicko,en,Released
2370,Topaz,en,Released
2395,Asterix at the Olympic Games,fr,Released
2428,The Greatest Story Ever Told,en,Released
2447,The Nativity Story,en,Released
2453,Harley Davidson and the Marlboro Man,en,Released
2454,The Chronicles of Narnia: Prince Caspian,en,Released
2486,Eragon,en,Released
2493,The Princess Bride,en,Released
2501,The Bourne Identity,en,Released
2502,The Bourne Supremacy,en,Released
2503,The Bourne Ultimatum,en,Released
2539,Spanglish,en,Released
2567,The Aviator,en,Released
2575,The Tailor of Panama,en,Released
2577,Code 46,en,Released
2604,Born on the Fourth of July,en,Released
2610,Shopgirl,en,Released
2619,Splash,en,Released
2621,Return to Me,en,Released
2636,The Specialist,en,Released
2637,The Mothman Prophecies,en,Released
2639,Deconstructing Harry,en,Released
2642,Two Weeks Notice,en,Released
2649,The Game,en,Released
2652,Hard Candy,en,Released
2655,What Lies Beneath,en,Released
2661,Batman,en,Released
2662,House of 1000 Corpses,en,Released
2666,Dark City,en,Released
2667,The Blair Witch Project,en,Released
2669,The Bounty,en,Released
2675,Signs,en,Released
2687,Memoirs of an Invisible Man,en,Released
2698,Evan Almighty,en,Released
2749,15 Minutes,en,Released
2752,40 Days and 40 Nights,en,Released
2755,About Schmidt,en,Released
2756,The Abyss,en,Released
2757,Adaptation.,en,Released
2770,American Pie 2,en,Released
2771,American Splendor,en,Released
2779,The Curse of the Jade Scorpion,en,Released
2786,Pierrot le Fou,fr,Released
2787,Pitch Black,en,Released
2789,The Chronicles of Riddick,en,Released
2830,My Boss's Daughter,en,Released
2832,Identity,en,Released
2841,A Very Long Engagement,fr,Released
2895,The Apostle,en,Released
2898,As Good as It Gets,en,Released
2900,The Astronaut's Wife,en,Released
2907,The Addams Family,en,Released
2925,The First Wives Club,en,Released
2959,License to Wed,en,Released
2976,Hairspray,en,Released
2977,Becoming Jane,en,Released
2989,Roar,en,Released
3021,1408,en,Released
3028,Jekyll and Hyde ... Together Again,en,Released
3033,Gods and Monsters,en,Released
3034,Young Frankenstein,en,Released
3040,Night Watch,ru,Released
3049,Ace Ventura: Pet Detective,en,Released
3050,Doctor Dolittle,en,Released
3059,Intolerance,en,Released
3060,The Big Parade,en,Released
3062,42nd Street,en,Released
3078,It Happened One Night,en,Released
3080,Top Hat,en,Released
3082,Modern Times,en,Released
3083,Mr. Smith Goes to Washington,en,Released
3089,Red River,en,Released
3093,Basic Instinct 2,en,Released
3116,Midnight Cowboy,en,Released
3131,Gangs of New York,en,Released
3132,Bad Company,en,Released
3170,Bambi,en,Released
3172,Bandits,en,Released
3175,Barry Lyndon,en,Released
3179,Beavis and Butt-Head Do America,en,Released
3291,"Good Night, and Good Luck.",en,Released
3472,Dirty Pretty Things,en,Released
3482,The Train,en,Released
3489,88 Minutes,en,Released
3509,A Scanner Darkly,en,Released
3512,Under Siege 2: Dark Territory,en,Released
3536,U-571,en,Released
3558,"Girl, Interrupted",en,Released
3580,Changeling,en,Released
3587,Bogus,en,Released
3594,The Number 23,en,Released
3595,Ransom,en,Released
3597,I Know What You Did Last Summer,en,Released
3600,I Still Know What You Did Last Summer,en,Released
3604,Flash Gordon,en,Released
3635,Girl with a Pearl Earring,en,Released
3638,No Reservations,en,Released
3682,54,en,Released
3683,Flags of Our Fathers,en,Released
3766,The Lady from Shanghai,en,Released
3877,Things We Lost in the Fire,en,Released
3902,I'm Not There.,en,Released
3933,Corpse Bride,en,Released
3981,What Women Want,en,Released
3989,Team America: World Police,en,Released
4011,Beetlejuice,en,Released
4012,The Believer,en,Released
4032,My Girl,en,Released
4105,Black Rain,en,Released
4107,Bloody Sunday,en,Released
4108,The Transporter,en,Released
4133,Blow,en,Released
4147,Road to Perdition,en,Released
4148,Revolutionary Road,en,Released
4170,Trade,en,Released
4174,Spellbound,en,Released
4232,Scream,en,Released
4233,Scream 2,en,Released
4234,Scream 3,en,Released
4244,The Kid,en,Released
4248,Scary Movie 2,en,Released
4251,Veer-Zaara,hi,Released
4256,Scary Movie 3,en,Released
4257,Scary Movie 4,en,Released
4258,Scary Movie 5,en,Released
4327,Charlie's Angels,en,Released
4347,Atonement,en,Released
4348,Pride & Prejudice,en,Released
4349,The Kingdom,en,Released
4379,Monster-in-Law,en,Released
4380,Shall We Dance?,en,Released
4421,G.I. Jane,en,Released
4442,The Brothers Grimm,en,Released
